country_id,country,region_id
1,AFGHANISTAN,1
2,ALBANIA,2
3,ALGERIA,3
4,AMERI SAMOA,4
5,ANDORRA,2
6,ANGOLA,3
7,ANGUILLA,5
8,ANTARTICA,6
9,ANTIGUA,5
10,ARGENTINA,7
11,ARMENIA,1
12,ARUBA,5
13,AUSTRALIA,4
14,AUSTRIA,2
15,AZERBAIJAN,1
16,BAHAMAS,5
17,BAHARAIN IS,1
18,BANGLADESH PR,1
19,BARBADOS,5
20,BELARUS,2
21,BELGIUM,2
22,BELIZE,5
23,BENIN,3
24,BERMUDA,5
25,BHUTAN,1
26,BOLIVIA,7
27,BOSNIA-HRZGOVIN,2
28,BOTSWANA,3
29,BR VIRGN IS,5
30,BRAZIL,7
31,BRUNEI,1
32,BULGARIA,2
33,BURKINA FASO,3
34,BURUNDI,3
35,C AFRI REP,3
36,CAMBODIA,1
37,CAMEROON,3
38,CANADA,5
39,CAPE VERDE IS,3
40,CAYMAN IS,5
41,CHAD,3
42,CHANNEL IS,2
43,CHILE,7
44,CHINA P RP,1
45,CHRISTMAS IS.,4
46,COCOS IS,4
47,COLOMBIA,7
48,COMOROS,3
49,CONGO D. REP.,3
50,CONGO P REP,3
51,COOK IS,4
52,COSTA RICA,5
53,COTE D' IVOIRE,3
54,CROATIA,2
55,CUBA,5
56,CYPRUS,1
57,CZECH REPUBLIC,2
58,DENMARK,2
59,DJIBOUTI,3
60,DOMINIC REP,5
61,DOMINICA,5
62,ECUADOR,7
63,EGYPT A RP,3
64,EL SALVADOR,5
65,EQUTL GUINEA,3
66,ERITREA,3
67,ESTONIA,2
68,ETHIOPIA,3
69,FALKLAND IS,7
70,FAROE IS.,2
71,FIJI IS,4
72,FINLAND,2
73,FR GUIANA,7
74,FR POLYNESIA,4
75,FR S ANT TR,6
76,FRANCE,2
77,GABON,3
78,GAMBIA,3
79,GEORGIA,1
80,GERMANY,2
81,GHANA,3
82,GIBRALTAR,2
83,GREECE,2
84,GREENLAND,5
85,GRENADA,5
86,GUADELOUPE,5
87,GUAM,4
88,GUATEMALA,5
89,GUINEA,3
90,GUINEA BISSAU,3
91,GUYANA,7
92,HAITI,5
93,HEARD MACDONALD,6
94,HONDURAS,5
95,HONG KONG,1
96,HUNGARY,2
97,ICELAND,2
98,INDONESIA,1
99,IRAN,1
100,IRAQ,1
101,IRELAND,2
102,ISRAEL,1
103,ITALY,2
104,JAMAICA,5
105,JAPAN,1
106,JORDAN,1
107,KAZAKHSTAN,1
108,KENYA,3
109,KIRIBATI REP,4
110,KOREA DP RP,1
111,KOREA RP,1
112,KUWAIT,1
113,KYRGHYZSTAN,1
114,LAO PD RP,1
115,LATVIA,2
116,LEBANON,1
117,LESOTHO,3
118,LIBERIA,3
119,LIBYA,3
120,LIECHTENSTEIN,2
121,LITHUANIA,2
122,LUXEMBOURG,2
123,MACAO,1
124,MACEDONIA,2
125,MADAGASCAR,3
126,MALAWI,3
127,MALAYSIA,1
128,MALDIVES,1
129,MALI,3
130,MALTA,2
131,MARSHALL ISLAND,4
132,MARTINIQUE,5
133,MAURITANIA,3
134,MAURITIUS,3
135,MEXICO,5
136,MOLDOVA,2
137,MONACO,2
138,MONGOLIA,1
139,MONTSERRAT,5
140,MOROCCO,3
141,MOZAMBIQUE,3
142,MYANMAR,1
143,N. MARIANA IS.,4
144,NAMIBIA,3
145,NAURU RP,4
146,NEPAL,1
147,NETHERLAND,2
148,NETHERLANDANTIL,5
149,NEW CALEDONIA,4
150,NEW ZEALAND,4
151,NICARAGUA,5
152,NIGER,3
153,NIGERIA,3
154,NIUE IS,4
155,NORFOLK IS,4
156,NORWAY,2
157,OMAN,1
158,PAKISTAN IR,1
159,PALAU,4
160,PANAMA C Z,5
161,PANAMA REPUBLIC,5
162,PAPUA N GNA,4
163,PARAGUAY,7
164,PERU,7
165,PHILIPPINES,1
166,POLAND,2
167,PORTUGAL,2
168,PUERTO RICO,5
169,QATAR,1
170,REUNION,3
171,ROMANIA,2
172,RUSSIA,2
173,RWANDA,3
174,SAMOA,4
175,SAO TOME,3
176,SAUDI ARAB,1
177,SENEGAL,3
178,SEYCHELLES,3
179,SIERRA LEONE,3
180,SINGAPORE,1
181,SLOVAK REP,2
182,SLOVENIA,2
183,SOLOMON IS,4
184,SOMALIA,3
185,SOUTH AFRICA,3
186,SPAIN,2
187,SRI LANKA DSR,1
188,ST HELENA,3
189,ST KITT N A,5
